num, name, organism, type, Dataset, Platforms, samples, series
169,Identification of recurrent GBM patients that may benefit from Bevacizumab and CCNU:  A report from the BELOB trial by the Dutch Neurooncology Group,Homo sapiens,Expression profiling by array,NoData,GPL14951,112,GSE72951,GSE72951
170,KRAS-induced transcription analysis in immortalized pancreatic cells,Homo sapiens,Expression profiling by array,NoData,GPL16699,16,GSE58055,GSE58055
171,Gene expression in the different stages of endometrial cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE39099,GSE39099
172,MiR-511 dependently expressed genes in monoblastic cell line THP1,Homo sapiens,Expression profiling by array,NoData,GPL10332,4,GSE70490,GSE70490
173,Integrated Analysis of Dysregulated lncRNA and mRNA Expression profiles of myocardial sleevesof pulmonary veins in  atrial fibrillation,Homo sapiens,Expression profiling by array,NoData,GPL17586,12,GSE76899,GSE76899
174,Gene Expression in Biopsies of Acute Rejection and Interstitial Fibrosis/Tubular Atrophy Reveals Highly Shared Mechanisms that Correlate with Worse Long-term Outcomes,Homo sapiens,Expression profiling by array,NoData,GPL13158,274,GSE76882,GSE76882
175,Monocyte Transcriptional Networks are Associated with Tuberculin Skin Test Status in Uganda,Homo sapiens,Expression profiling by array,NoData,GPL6947,56,GSE76873,GSE76873
176,Expression profiling of Ewing sarcoma cell lines exposed to 5nM Pladienolide B (PlaB) for 24 hours,Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE67548,GSE67548
177,Advanced Study of Aortic Pathology (ASAP),Homo sapiens,Expression profiling by array,NoData,GPL5175,96,GSE26155,GSE26155
178,Targeting the lineage-specific long non-coding RNA LINC01212 as an effective anti-melanoma therapeutic strategy [2],Homo sapiens,Expression profiling by array,NoData,GPL17077,9,GSE70177,GSE70177
179,Targeting the lineage-specific long non-coding RNA LINC01212 as an effective anti-melanoma therapeutic strategy [1],Homo sapiens,Expression profiling by array,NoData,GPL20604,38,GSE70176,GSE70176
180,Targeting the lineage-specific long non-coding RNA LINC01212 as an effective anti-melanoma therapeutic strategy,Homo sapiens,Expression profiling by array,NoData,GPL17077 GPL20604,47,GSE70180,GSE70180
181,Genome-wide methylation analysis and gene expression profiling identifies genes silenced in non-seminoma cell lines,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,NoData,GPL570 GPL13534,8,GSE65028,GSE65028
182,Genome-wide methylation analysis and gene expression profiling identifies genes silenced in non-seminoma cell lines [gene expression],Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE65026,GSE65026
183,"Expression profiling of the TC32 Ewing sarcoma cell line following silencing of SUPT6H, SF3B1 or HNRNPH1",Homo sapiens,Expression profiling by array,NoData,GPL10558,36,GSE67736,GSE67736
184,Whole Blood Transcriptional Profiling Differentiates Between Asymptomatic and Symptomatic Human Rhinovirus Detection in Children,Homo sapiens,Expression profiling by array,NoData,GPL6947 GPL10558,151,GSE67059,GSE67059
185,T Cell Receptor-Induced NF-kB Signaling and Transcriptional Activation Are Regulated by STIM1- and Orai1-Mediated Calcium Entry,Homo sapiens,Expression profiling by array,NoData,GPL10558,19,GSE76804,GSE76804
186,Hinchcliff 359 microarray dataset,Homo sapiens,Expression profiling by array,NoData,GPL6480,165,GSE76886,GSE76886
187,Functional neurons generated from T cell-derived iPSCs for neurological disease modeling,Homo sapiens,Expression profiling by array; Methylation profiling by high throughput sequencing,NoData,GPL570 GPL11154,29,GSE76832,GSE76832
188,Human induced pluripotent stem cells (iPSCs) derived from T-cell compared with that from adult dermal fibroblast (aHDF) [gene expression],Homo sapiens,Expression profiling by array,NoData,GPL570,25,GSE76830,GSE76830
189,Blood transcriptomic markers in patients with late-onset major depressive disorder,Homo sapiens,Expression profiling by array,NoData,GPL17077,32,GSE76826,GSE76826
190,"Comparative gene expression analyses of purified CD14+ monocytes from human umbilical cord blood, CD14+ monocytes from adult peripheral blood and the cell therapy product DUOC-01",Homo sapiens,Expression profiling by array,NoData,GPL570,11,GSE76803,GSE76803
191,Transcriptomic profiling of urine extracellular vesicles reveals alterations of CDH3 in prostate cancer,Homo sapiens,Expression profiling by array,NoData,GPL10558,10,GSE75441,GSE75441
192,Profiling of normal human colonic epithelial cells according to their PTK7 surface abundance,Homo sapiens,Expression profiling by array,NoData,GPL15207,8,GSE68340,GSE68340
193,Expression data of BRPF3 depletion from the human osteosarcoma U2OS cell line,Homo sapiens,Expression profiling by array,NoData,GPL16686,4,GSE65065,GSE65065
194,"Blood, adipose and muscle samples taken from monozygotic twin pairs with age range 32-37",Homo sapiens,Expression profiling by array,NoData,GPL20932,61,GSE73142,GSE73142
195,LncVSM (AK098656) down-regulation in Vascular Smooth Muscle cells,Homo sapiens,Expression profiling by array,NoData,GPL13497,8,GSE76720,GSE76720
196,Complex Disease Subtypes Identified by Network-Based Clustering of Gene Expression Data:  Application to COPD,Homo sapiens,Expression profiling by array; Third-party reanalysis,NoData,GPL570,229,GSE76705,GSE76705
197,Multi-tissue functional genomic study of systemic sclerosis,Homo sapiens,Expression profiling by array,NoData,NoData,520,GSE76809,GSE76809
198,Expression data from QY and QYRC cell lines,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE76754,GSE76754
199,Phenotypic plasticity determines cancer stem cell therapeutic resistance in oral squamous cell carcinoma I,Homo sapiens,Expression profiling by array,NoData,GPL10558,5,GSE74578,GSE74578
200,Phenotypic plasticity determines cancer stem cell therapeutic resistance in oral squamous cell carcinoma II,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE74580,GSE74580
201,Gene expression profiling of skin in hidradenitis suppurativa,Homo sapiens,Expression profiling by array,NoData,GPL13158,30,GSE72702,GSE72702
202,Pioneer factor FOXA1 defines GATA2- and AR-mediated transcriptional program in prostate cancer,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL10558 GPL15456,52,GSE69045,GSE69045
203,Pioneer factor FOXA1 defines GATA2- and AR-mediated transcriptional program in prostate cancer [gene expression],Homo sapiens,Expression profiling by array,NoData,GPL10558,24,GSE69044,GSE69044
204,Downstream genes regulated by TSHZ2 in MCF-7 cells,Homo sapiens,Expression profiling by array,NoData,GPL17077,2,GSE64351,GSE64351
205,Exploring Molecular Determinants of Disease Progression in Psoriasis by Comparing Different Clinical Subtypes Having Similar Core Transcriptomes,Homo sapiens,Expression profiling by array; Third-party reanalysis,NoData,GPL570,27,GSE67853,GSE67853
206,Role of IRF7 in airway epithelial cell responses to human rhinovirus infection.,Homo sapiens,Expression profiling by array,NoData,GPL20609,20,GSE70190,GSE70190
207,Gene expression data of ovarian cancer from Singapore,Homo sapiens,Expression profiling by array,NoData,GPL6244,100,GSE69207,GSE69207
208,"Gene expression analysis of untreated and NT-shRNA transduced kidney proximal tubular epithelial cells (PTECs) at day 6 and day 16 after transduction,  as well as SETD2-shRNA transduced PTECs at day 25 after transduction.",Homo sapiens,Expression profiling by array,NoData,GPL18641,18,GSE72792,GSE72792
209,"Transcriptional profiling of HBV-naïve subjects before vaccination against Hepatitis A/B viruses, Diphtheria/Tetanus toxoids and Cholera.",Homo sapiens,Expression profiling by array,NoData,GPL15048,169,GSE65834,GSE65834
210,Interaction of CDCP1 with HER2 enhances HER2-driven tumorigenesis and promotes trastuzumab resistance in breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE67019,GSE67019
211,Characterization of CD57+PD1- CD4 T cells,Homo sapiens,Expression profiling by array,NoData,GPL570,10,GSE64805,GSE64805
212,Expression data of human tympanic membrane cells and epidermal keratinocytes,Homo sapiens; synthetic construct,Expression profiling by array; Non-coding RNA profiling by array,NoData,GPL16686,6,GSE76674,GSE76674
213,Expression data from glioma patients,Homo sapiens,Expression profiling by array,NoData,GPL570,50,GSE43378,GSE43378
214,The novel atypical retinoid ST5589 down-regulates Aurora Kinase A and has anti-tumour activity in lymphoma pre-clinical models,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE66455,GSE66455
215,"C646, a Novel p300/CREB-Binding Protein-Specific Inhibitor of Histone Acetyltransferase, Attenuates Influenza A Virus Infection",Homo sapiens,Expression profiling by array,NoData,GPL14550,24,GSE72503,GSE72503
216,CRC cells_Aspirin treatment_48 hours_Rep8,Homo sapiens,Expression profiling by array,NoData,GPL17077,16,GSE76583,GSE76583
217,The role of mRNA decay in p53-induced gene expression,Homo sapiens,Expression profiling by array,NoData,GPL10739,6,GSE76575,GSE76575
218,Analysis of gene expression in human Bronchial Alveolar Lavage Cell (BAL) cell pellets,Homo sapiens,Expression profiling by array,NoData,GPL6480,86,GSE74986,GSE74986
219,Genome-wide peripheral blood transcriptome analysis of Arab female Lupus and Lupus nephritis,Homo sapiens,Expression profiling by array,NoData,GPL5188,11,GSE62764,GSE62764
220,Expression data at each site in colon cancer,Homo sapiens,Expression profiling by array,NoData,GPL6244,40,GSE65480,GSE65480
221,Neuronal and glial Gene expression from control and healthy patient iPSC-derived cortical neurons (B),unidentified; Homo sapiens,Expression profiling by array,NoData,GPL21292,32,GSE76547,GSE76547
222,Neuronal and glial Gene expression from control and healthy patient iPSC-derived forebrain neurons (A),Homo sapiens,Expression profiling by array,NoData,GPL21293,72,GSE76545,GSE76545
223,Microarray of NFAT1-shRNA (KD) vs Non-targeting shRNA (NT) metastatic melanoma cell line,Homo sapiens,Expression profiling by array,NoData,GPL19137,2,GSE76541,GSE76541
224,Pretreatment with Gamma-Secretase Inhibitor Prevents Tumor-Like Overgrowth in Human iPSC-Derived Transplant for Spinal Cord Injury,Homo sapiens,Expression profiling by array,NoData,GPL10558,12,GSE76556,GSE76556
225,Neuronal and glial Gene expression from control and healthy patient iPSC-derived cortical neurons,unidentified; Homo sapiens,Expression profiling by array,NoData,GPL21292 GPL21293,104,GSE76551,GSE76551
226,Orbital Cavernous Hemangioma Tissues: Control vs. Benign Lymphoepithelial Lesions of the Lacrimal Gland tissues,Homo sapiens,Expression profiling by array,NoData,GPL13287,36,GSE76497,GSE76497
227,Identification of mir-342-3p functionally associated with transcriptional activity of MYC in lung cancer,Homo sapiens,Expression profiling by array,NoData,GPL14550,103,GSE66760,GSE66760
228,Identification of mir-342-3p functionally associated with transcriptional activity of MYC in lung cancer [patients],Homo sapiens,Expression profiling by array,NoData,GPL14550,81,GSE66759,GSE66759
229,Identification of mir-342-3p functionally associated with transcriptional activity of MYC in lung cancer [cell culture],Homo sapiens,Expression profiling by array,NoData,GPL14550,22,GSE66758,GSE66758
230,FGFR signature,Homo sapiens,Expression profiling by array,NoData,GPL570,66,GSE73024,GSE73024
231,c-MET inhibitor inducing KSHV+ primary effusion lymphoma apoptosis,Homo sapiens,Expression profiling by array,NoData,GPL10558,6,GSE70594,GSE70594
232,Time Course of Adults Vaccinated with Influenza TIV Vaccine during 2011/12 Flu Season,Homo sapiens,Expression profiling by array,NoData,GPL13158,177,GSE74816,GSE74816
233,A molecular signature for MET-targeted therapy,Mus musculus; Homo sapiens,Expression profiling by array,NoData,GPL6246 GPL6244,56,GSE64667,GSE64667
234,Expression data from MCF-7 and MCF-7/ADR cells,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE76540,GSE76540
235,Gene expression in a 3-dimensional reconstructed human corneal epithelial tissue after near-infrared irradiation simulating solar near-infrared radiation that reaches human tissues on the Earth’s surface,Homo sapiens,Expression profiling by array,NoData,GPL16699,4,GSE76500,GSE76500
236,Expression data analysis from RPMI 8226 cells irraidated to C-ions.,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE76471,GSE76471
237,Microarray based gene expression for invasive lobular cancer samples (RATHER),Homo sapiens,Expression profiling by array,NoData,GPL20078,159,GSE68057,GSE68057
238,Expression and Splicing Analysis of Myotonic Dystrophy and Other Dystrophic Muscle,Homo sapiens,Expression profiling by array,NoData,GPL5175 GPL5188,56,GSE48828,GSE48828
239,Expression data from HeLa cell lines stably expressing shRNA targeting ctrl  or UHRF1,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE73751,GSE73751
240,Transcriptome-wide regulation of pre-mRNA splicing and expression by the RNA-binding protein Quaking during monocyte to macrophage differentiation,Homo sapiens,Expression profiling by high throughput sequencing; Expression profiling by array,NoData,GPL11154 GPL15106,16,GSE74979,GSE74979
241,Expression profiles of normal hematopoietic stem and progenitor cells and acute myeloid leukemia sub-populations,Homo sapiens,Expression profiling by array,NoData,GPL17810,104,GSE63270,GSE63270
242,Hypoxia-induced alterations of G2 checkpoint regulators,Homo sapiens,Expression profiling by array,NoData,GPL6884,2,GSE70530,GSE70530
243,Insights into responses of human astrocytes to H5N1 infection by transcriptional analysis,Homo sapiens,Expression profiling by array,NoData,GPL6480,18,GSE66597,GSE66597
244,Glucose Metabolic Remodeling through Phosphoenolpyruvate Carboxykinase Isoform 2 Regulates Prostate Cancer Cell Tumorigenicity,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE76470,GSE76470
245,Comprehensive transcriptome profiling reveals multigene signatures in triple negative breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL17586,198,GSE76250,GSE76250
246,Human pancreatic adenocarcinoma contains a side population resistant to gemcitabine,Homo sapiens,Expression profiling by array,NoData,GPL6480,10,GSE36563,GSE36563
